"Section Description
RDA common maDMP standard","Common standard fieldname
(click on hyperlinks for descriptions)
(see GC_RDA DMP structure, here)",Added to DSW knowledge model?,, DSW knowledge model UUID,Link / key to DSW knowledge model location,"Logical model tracking
(done, pending, changed)",Logical model changes,Logical model comments,Example,Data type,GC DMP Requirement,"required IF"" dependency",Cardinality RDA,Cardinality change GC,Required by,LAC requirement at time of transfer for archival datasets,"DataCite Record for DMP (Mandatory, Optional, Recommended)",Corresponding DataCite field(s),"DataCite Record for Dataset (M, O, R)",Corresponding DataCite field(s),NSL/NRC requirement,Recommended by,Simple fieldname,Nom de domaine simple,Nom de domaine,"Verification 1
agree/disagree (initials)","Verification 2
agree/disagree (initials)","Verification 3
agree/disagree (initials)",Verification comments 1,Verification comments 2,Verification comments 3
,dmp/dataset/dataset_id/,TRUE,,e07a6543-c263-4cec-b228-308d0a355811,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e07a6543-c263-4cec-b228-308d0a355811,done,,,,nested data structure,required,,1,,,"Y, if exists (Record Identifier at aggregation level)",,,"M if DOI
O if alternate ID",,,,,,pgd/données/données_id/,KT yes,AR yes,,KT: added cardinality and data type,ok (CCA),
,dmp/dataset/dataset_id/identifier,TRUE,,cb9dc4b9-7ba8-48c4-a672-4f425b42db8c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cb9dc4b9-7ba8-48c4-a672-4f425b42db8c,done,,,University of Vienna Phaidra (univie.ac.at),string (free-form text),required,,1,,,,,,,"identifier
alternateIdentifier",,,dataset_id_identifier,données_id_identificateur,pgd/données/données_id/identificateur,KT yes,AR yes,,,,
,dmp/dataset/dataset_id/type,TRUE,,ee0de77d-1540-4aaf-a30b-f420ba410a2a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ee0de77d-1540-4aaf-a30b-f420ba410a2a,done,,,doi,controlled vocabulary,required,,1,,,,,,,"identifierType=""DOI""
alternateIdentifierType=""""",,,dataset_id_type,données_données_id_type,pgd/données/données_id/type,KT yes,AR yes,,,,
,dmp/dataset/description,TRUE,,8e29c586-45d3-40e0-841d-5c92ccd2d01c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8e29c586-45d3-40e0-841d-5c92ccd2d01c,done,,,mountains of data,string (free-form text),optional,,0..1,,,,,,R,description descriptionType,,,dataset_description,données_description,pgd/données/description,KT yes,AR yes,,,,
,dmp/dataset/geographic_coverage,TRUE,,1e86ba71-a3d8-40c0-944b-0689b424b3f1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1e86ba71-a3d8-40c0-944b-0689b424b3f1,not needed,,Covered by dct:Location,,string (free-form text),optional,,NA,0..1,,,,,R,geoLocation,,,dataset_geographic_coverage,données_couverture_géographique,,KT yes,,,,,
,dmp/dataset/growth_annual_terabytes,TRUE,,b6a2f3bd-7b35-4bb4-9e1e-a862590718a0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b6a2f3bd-7b35-4bb4-9e1e-a862590718a0,?,,,,number,optional,,NA,0..1,,,,,,,,,dataset_growth_annual_bytes,données_croissance_annuelle_bytes,,KT yes,,,,,
,dmp/dataset/industry/,TRUE,,9daa659c-c111-4264-93ab-a49a60d9e310,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=9daa659c-c111-4264-93ab-a49a60d9e310,done,todo: what question?,Point to a NAICS Classification System,,,,,,,,,,,,,,,,,,,,,,,
,dmp/dataset/industry/classification_system,TRUE,,cd6529c6-2ea0-45ee-8935-fa6568817bb0,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=cd6529c6-2ea0-45ee-8935-fa6568817bb0,done,,,,controlled vocabulary,optional,,NA,0..1,,,,,,,,,industry_classification_scheme,industrie_schéma_classification,,KT see comment,,,"KT: curious what this means? Checked old specification (it was under dmp there), but was unclear at that time too. Thanks",Renamed for clarity and hyperlink added.  (CCA),
,dmp/dataset/industry/industry_code,TRUE,,92676507-6d89-4cdb-a045-eb17c2cbcd81,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=92676507-6d89-4cdb-a045-eb17c2cbcd81,done,,,,controlled vocabulary,optional,,NA,0..1,,,,,,,,,industry_code,industrie_code,,KT see comment line 152,,,,,
,dmp/dataset/industry/name,TRUE,,3917d558-430f-4e99-8b29-3ff9f93b1b89,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=3917d558-430f-4e99-8b29-3ff9f93b1b89,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,industry_name,industrie_nom,,KT see comment line 152,,,,,
,dmp/dataset/issued,TRUE,,ff688e2c-cc18-454a-9c0d-6c0022f7f780,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ff688e2c-cc18-454a-9c0d-6c0022f7f780,done,,,2021-06-31,Date. ISO 8601 datetime compliant string,optional,,0..1,,,,,,,,,,date_dataset_issued,données_date_délivré,pgd/données/date_délivré,KT yes,AR yes,,,,
,dmp/dataset/keyword,TRUE,,1c1ac661-7593-478c-a84f-74ee07e9faa7,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1c1ac661-7593-478c-a84f-74ee07e9faa7,done,,,"keyword 1, keyword 2",string (list - separate keywords with commas),optional,,0..n,,,,,,,,,,dataset_keywords,données_mots_clés,pgd/données/mots_clé,KT yes,AR yes,,,,
,to do,FALSE,,?,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=?,done,Link to dcsx:Language class,,mul,controlled vocabulary,optional,,0..1,,,Y* (Language) *LAC requires each language to be identified at the item level.,,,O   (0-1),language,,LAC,dataset_language,données_langue,pgd/données/langue,KT yes,AR yes,,Added 'mul' to dropdown menu for multiple languages (CCA),,
,dmp/dataset/language_multiple,TRUE,,a575d43f-59bf-4007-92f9-cc8d4abb7176,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a575d43f-59bf-4007-92f9-cc8d4abb7176,done,,,"alq, crg, kut",string (free-form text),required IF,if language=mul,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,dataset_language_multiple,données_langue_multiple,,,,,,,
,dmp/dataset/language_no_linguistic_content,TRUE,,c823984a-971c-4688-a272-c616bf33287a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=c823984a-971c-4688-a272-c616bf33287a,done,,,,string (free-form text),required IF,if language=zxx,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,dataset_language_no_linguistic_content,données_langue_aucun_contenu_linguistique,,,,,,,
,dmp/dataset/language_uncoded,TRUE,,4d7a2a89-5b50-429f-bf4d-8bdfdac1a66c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=4d7a2a89-5b50-429f-bf4d-8bdfdac1a66c,done,,,,controlled vocabulary,optional,,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,dataset_language_uncoded,données_langue_non_codée,,,,,,,
,dmp/dataset/language_undetermined,TRUE,,f7a2d16d-f925-4e27-93ed-dd04a0b9abb6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f7a2d16d-f925-4e27-93ed-dd04a0b9abb6,done,,,,string (free-form text),optional,,NA,0..1,,Y* (Language) *LAC requires each language to be identified at the item level.,,,?,,,LAC,dataset_language_undetermined,données_langue_non_déterminée,,,,,,,
,dmp/dataset/preservation_statement,TRUE,,1d481765-4410-490a-ad02-4a7baf1a3ff8,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1d481765-4410-490a-ad02-4a7baf1a3ff8,done,,,,string (free-form text),optional,,0..1,,,,,,,,,,dataset_preservation_statement,données_déclaration_préservation,pgd/données/déclaration_préservation,KT yes,AR yes,,,,
,dmp/dataset/subject/,TRUE,,524d3936-274b-4817-b7b0-49eef007f2f5,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=524d3936-274b-4817-b7b0-49eef007f2f5,done,,,,,optional,,,,,,,,R,"subject
subjectScheme  (0-1)
schemeURI  (0-1)
classificationCode  (0-1)",,LAC,dataset_subject,données_sujet,,KT yes,,,,,
,dmp/dataset/subject/classification,TRUE,,38a37e13-d24d-4d8d-88bf-1d8f2382c2f6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=38a37e13-d24d-4d8d-88bf-1d8f2382c2f6,done,,,,,,,NA,1,,,,,,,,,,,,,,,,,
,dmp/dataset/subject/indigenous_knowledge_classification,TRUE,,8837cf64-ac91-4c5b-aaed-fadf6577fde4,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8837cf64-ac91-4c5b-aaed-fadf6577fde4,done,,,ERB,controlled vocabulary,optional,,NA,0..1,,,,,,,,,dataset_subject_indigenous_knowledge_classification,données_sujet_savoir_autochtone_classification,,,,,,,
,dmp/dataset/supported_works/,TRUE,,6f843a3d-1a52-44ee-b150-6481cafa7ec3,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=6f843a3d-1a52-44ee-b150-6481cafa7ec3,done,dct:isReferencedBy,can ONLY a URL reference be used here? The rest of the information will be provided by accessing the URL.,,,,,NA,0..n,,,,,O,"relatedItem relationType=""""",,,,,,KT see comment,,,KT: not sure what this is referring to,See fropdown menu in 'dmp/dataset/supported_works/type' (CCA),
,dmp/dataset/supported_works/author,TRUE,,61c79d57-289b-4e56-a043-a1e18321251c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=61c79d57-289b-4e56-a043-a1e18321251c,done,,,"first author, second author, third author",string (free-form text),required IF,,NA,0..n,,,,,0-1,relatedItem creator,,,supported_works_author,œuvres soutenues_auteur,,KT see comment,,,"KT: should any of these properties within supported works be mandatory (i.e., ""required if"" someone wants to describe supported_works, which itself is optional)?",Added required if (CCA),
,dmp/dataset/supported_works/description,TRUE,,43538f73-4c88-4dfd-9534-6e991e1930a6,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=43538f73-4c88-4dfd-9534-6e991e1930a6,done,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,supported_works_description,œuvres soutenues_description,,KT see comment line 162,,,,,
,dmp/dataset/supported_works/type,TRUE,,966a107f-422f-4b50-b894-2dcc0b9e5ef1,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=966a107f-422f-4b50-b894-2dcc0b9e5ef1,done,,,peer-reviewed data article,controlled vocabulary,required IF,,NA,0..1,,,,,1,relatedItemType,,,supported_works_type,œuvres soutenues_type,,KT see comment line 162,,,,,
,dmp/dataset/supported_works/url,TRUE,,7fd64a9b-83b3-43cb-bdf0-657ce99a3ffe,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=7fd64a9b-83b3-43cb-bdf0-657ce99a3ffe,done,,,,string (free-form text),required IF,,NA,0..1,,,,,0-1,"relatedItemTypeIdentifier relatedItemTypeIdentifierType=""URL""",,,supported_works_url,œuvres soutenues_url,,KT see comment line 162,,,,,
,dmp/dataset/title,TRUE,,4bcb5b4c-9505-481b-a469-3b85498b4f4a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=4bcb5b4c-9505-481b-a469-3b85498b4f4a,done,,,fast sun images,string (free-form text),required,,1,,,Y (Title at aggregation level),,,M,title,,,dataset_title,données_titre,pgd/données/titre,KT yes,AR yes,,,,
,dmp/dataset/type,TRUE,,73b57175-cdc3-46d7-b541-8d6855562003,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=73b57175-cdc3-46d7-b541-8d6855562003,done,,,image,string (free-form text),optional,,0..1,,,,,,M,"resourceType=""xyz"" resourceTypeGeneral=""Dataset""",,,dataset_type,données_type,pgd/données/type,KT yes,AR yes,,,,
"9. DATASET DISTRIBUTIONS - nested data structure
The term ""distribution"" used here is as defined by the very widely used W3C DCAT metadata application profile. It is used to mean a particular instance of a dataset that has been, or is intended to be, made available in some fashion. It is important to separate the logical notion of a ""dataset"" from its distributions, of which there may be several, especially to attach more specific metadata properties such as ""size"" and ""license"". The lifecycle of the DMP has no particular bearing on this, and a ""distribution"" may be defined even if the DMP is never actually realised.",dmp/dataset/distribution/,TRUE,,8519916f-49b8-43c9-9d5b-aad924c6fc86,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8519916f-49b8-43c9-9d5b-aad924c6fc86,done,,,,nested data structure,optional,,0..n,,,,,,Can create a separate record/DOI for each distribution,,,,,,pgd/données/distribution/,KT yes,AR yes,,"KT: added cardinality, data type, ""optional"" requirement",ok (CCA),
,dmp/dataset/distribution/access_url,TRUE,,be948343-3afe-4f93-81a9-6ae20e38161e,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=be948343-3afe-4f93-81a9-6ae20e38161e,done,,,http://some.repo...,uri,optional,,0..1,,,,,,M,provided alongside the metadata record,,,access_url,accès_url,pgd/données/distribution/accès_url,KT yes,AR yes,,,,
,dmp/dataset/distribution/available_until,TRUE,,b4642619-a8c1-471a-82ea-148484c20221,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b4642619-a8c1-471a-82ea-148484c20221,done,,,2080-03-31T,Date. ISO 8601 datetime compliant string,optional,,0..1,,,,,,"in perpetuity, assumed",,,,available_until,disponible_jusqu'au,pgd/données/distribution/disponible_jusqu'au,KT yes,AR yes,,,,
,dmp/dataset/distribution/byte_size,TRUE,,27859a7f-a04c-4c42-8b27-8cf5db81a9fd,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=27859a7f-a04c-4c42-8b27-8cf5db81a9fd,done,,,"5,000,000,000,000",number,optional,,0..1,,,Y* (Extent) *Mandatory at item level,,,O,size,,,byte_size,taille_d'octet,pgd/données/distribution/taille_d'octet,KT yes,AR yes,,,,
,dmp/dataset/distribution/data_access,TRUE,,193c0178-cf71-4f50-b3b3-6637460b5301,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=193c0178-cf71-4f50-b3b3-6637460b5301,done,,,open,controlled vocabulary,required IF,if there is a distribution,1,,,,,,,,,,data_access,données_accès,pgd/données/distribution/données_accès,KT yes,AR yes,,,,
,dmp/dataset/distribution/data_aggregation,TRUE,,e5bf9122-0e88-4237-a5c3-1eb9077c31fb,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e5bf9122-0e88-4237-a5c3-1eb9077c31fb,done,covered by dataset dct:type,move to dataset,yes,controlled vocabulary (list - separate formats with commas),required,,,,,,,,,,,,distribution_data_aggregation,distribution_données_agrégation,,,,,,,
,dmp/dataset/distribution/data_aggregation_description,TRUE,,a15e9aa8-ad8a-445a-a5fc-b0854fb97f1c,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=a15e9aa8-ad8a-445a-a5fc-b0854fb97f1c,done,,remove; redundant,Daily observations summarized as annual means.,string (free-form text),optional,,,,,,,,,,,,distribution_data_aggregation_description,distribution_données_agrégation_description,,,,,,,
,dmp/dataset/distribution/data_class,TRUE,,019e530a-0a07-4230-b145-f53175892078,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=019e530a-0a07-4230-b145-f53175892078,done,dcso:dataClass,,continuous,controlled vocabulary,optional,,NA,0..n,,,,,,,,,distribution_data_class,distribution_classe,,KT yes,,,,,
,dmp/dataset/distribution/data_completeness,TRUE,,1f1d5556-7664-48e6-9793-94db9a9e0c78,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1f1d5556-7664-48e6-9793-94db9a9e0c78,move to dataset,dcso:dataCompleteness,data quality statement https://www.w3.org/TR/vocab-dcat-2/#quality-example1,less than 10%,controlled vocabulary,optional,,NA,0..1,,,,,,,,,distribution_data_completeness,distribution_données_exhaustivité,,,,,,,
,dmp/dataset/distribution/data_criticality,TRUE,,50b2a1bb-6aeb-432d-9160-29193d4d8e43,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=50b2a1bb-6aeb-432d-9160-29193d4d8e43,move to dataset,dcso:dataCriticality,attribute in Dataset. Classification in Distribution????,business function continuity and improvement,controlled vocabulary (list - separate formats with commas),optional,,NA,0..1,,,,,,,,,distribution_data_criticality,distribution_criticité,,KT yes,,,,,
,dmp/dataset/distribution/data_integration,TRUE,,18c474e0-aa28-439b-b67d-4859ffd53d85,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=18c474e0-aa28-439b-b67d-4859ffd53d85,move to dataset,dct:source attribute,,yes,controlled vocabulary (list - separate formats with commas),optional,,NA,0..1,,,,,,,,,distribution_data_integration,distribution_données_intégration,,KT yes,,,,,
,dmp/dataset/distribution/data_integration_description,TRUE,,ab9c4b97-70c6-43ed-9d2c-9b88c53868d9,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ab9c4b97-70c6-43ed-9d2c-9b88c53868d9,move to dataset,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,distribution_data_integration_description,distribution_données_intégration_description,,KT yes,,,,,
,dmp/dataset/distribution/data_integration_sources,TRUE,,ad8ba2cc-c346-45e2-bae7-634d32ba329a,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ad8ba2cc-c346-45e2-bae7-634d32ba329a,move to dataset,,,,string (free-form text),optional,,NA,0..n,,,,,,,,,distribution_data_integration_sources,distribution_données_intégration_sources,,KT yes,,,,,
,dmp/dataset/distribution/data_last_updated,TRUE,,e702c5f9-a642-4443-ae0e-9cef7035c2f8,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=e702c5f9-a642-4443-ae0e-9cef7035c2f8,done,dct:modified,dct:modified in dcso:Dataset,2021-06-01T,Date. ISO 8601 datetime compliant string,optional,,NA,0..1,TBS Policy on Service and Digital 4.3.2.10,Y (Date [modification of record]),,,,"date dateType=""Updated""",,LAC,distribution_data_last_updated,distribution_date_dernière_mise_à_jour,,KT yes,,,,,
,dmp/dataset/distribution/data_latest_end_date,TRUE,,1feaee13-26b7-4eff-8940-73cc0efc0f3d,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1feaee13-26b7-4eff-8940-73cc0efc0f3d,done,dct:PeriodOfTime,at the dataset level,"1970-01-01T, 2020-12-31T",Date. ISO 8601 datetime compliant string,optional,,NA,0..1,TBS Policy on Service and Digital 4.3.2.10,Y (Date [coverage]),,,,,,LAC,distribution_data_end_date,distribution_date_fin,,KT yes,,,,,
,dmp/dataset/distribution/data_priority,TRUE,,368e1527-466c-41a9-b3b3-a7e834be710b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=368e1527-466c-41a9-b3b3-a7e834be710b,done,,,active data,controlled vocabulary (list - separate formats with commas),optional,,NA,0..1,,,,,,,,,distribution_data_priority,distribution_données_priorité,,KT yes,,,,,
,dmp/dataset/distribution/data_processing_minimum_cpu_cores,TRUE,,b4d71125-95a9-4d60-8c71-9b99459beaec,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b4d71125-95a9-4d60-8c71-9b99459beaec,?,,move to 'host',64,controlled vocabulary,optional,,NA,0..1,,,,,,,,,distribution_minimum_cpu_cores,distribution_cpu_coeurs_minimaux,,KT see comments,,,KT: unfamiliar with these properties. cannot assess,ok (CCA),
,dmp/dataset/distribution/data_processing_minimum_cpu_speed_Ghz,TRUE,,8bb56fba-2aa8-4f6f-93a5-ea935e8b711d,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8bb56fba-2aa8-4f6f-93a5-ea935e8b711d,?,,move to 'host',,number,optional,,NA,0..1,,,,,,,,,distribution_minimum_cpu_speed_Ghz,distribution_cpu_coeurx_vitesse_Ghz,,,,,,,
,dmp/dataset/distribution/data_processing_minimum_machine_type,TRUE,,1fa765c0-5320-428b-b2a9-27f9dc308cfa,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=1fa765c0-5320-428b-b2a9-27f9dc308cfa,?,,move to 'host',laptop,controlled vocabulary,optional,,NA,0..1,,,,,,,,,distribution_minimum_machine_type,distribution_type_machine_minimum,,,,,,,
,dmp/dataset/distribution/data_processing_minimum_RAM_Gb,TRUE,,d8c3d8e1-1bd6-41e4-aabc-54189907da26,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d8c3d8e1-1bd6-41e4-aabc-54189907da26,?,,move to 'host',,number,optional,,NA,0..1,,,,,,,,,distribution_data_processing_minimum_RAM_Gb,distribution_traitement_information_RAM_minimum_Gb,,,,,,,
,dmp/dataset/distribution/data_size,TRUE,,52c550a6-ee81-4d61-8d09-ae36e1316578,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=52c550a6-ee81-4d61-8d09-ae36e1316578,redundant,,,15,number,required IF,if there is a distribution,NA,1,,,,,,,,,distribution_data_size,distribution_donées_taille,,KT yes,,,,,
,dmp/dataset/distribution/data_size_units,TRUE,,ce49753f-b1c1-463c-a62c-e8e4c4ef3ccb,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=ce49753f-b1c1-463c-a62c-e8e4c4ef3ccb,redundatnt,,,YB - yottabyte,controlled vocabulary,required IF,if there is a data_size,NA,1,,,,,,,,,distribution_data_size_units,distribution_donées_taille_unités,,KT yes,,,,,
,dmp/dataset/distribution/data_source,TRUE,,00d94f94-fe9f-4e78-bbc8-6cd051de1fc4,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=00d94f94-fe9f-4e78-bbc8-6cd051de1fc4,move to dataset,,What's the difference between this and technical resource? Is it Provenance maybe? Isn't the source the dataset?,modeling/simulation output,controlled vocabulary (list - separate formats with commas),optional,,NA,0..1,,,,,,,,,distribution_data_source,distribution_données_source,,KT yes,,,,,
,dmp/dataset/distribution/data_source_description,TRUE,,0a635159-9e3f-465e-8607-e283e257b002,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=0a635159-9e3f-465e-8607-e283e257b002,move to dataset,,,,string (free-form text),optional,,NA,0..1,,,,,,,,,distribution_data_source_description,distribution_données_source_description,,KT yes,,,,,
,dmp/dataset/distribution/data_source_external,TRUE,,10c1ad22-1c47-4ce2-a5e6-83bd7c8fbd54,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=10c1ad22-1c47-4ce2-a5e6-83bd7c8fbd54,move to dataset,,,yes,controlled vocabulary (list - separate formats with commas),optional,,NA,0..1,,* (Rights Management),,,,,,,distribution_data_source_external,distribution_données_source_externe,,KT yes,,,,,
,dmp/dataset/distribution/data_source_external_description,TRUE,,d0738a9b-899c-4b37-837b-b17ad9980f3b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=d0738a9b-899c-4b37-837b-b17ad9980f3b,move to dataset,,,,string (free-form text),optional,,NA,0..1,,* (Rights Management),,,,,,,distribution_data_source_external_description,distribution_données_source_description,,KT yes,,,,,
,dmp/dataset/distribution/data_start_date,TRUE,,405d2404-53f1-4dd5-a4d6-6d445abe8f3b,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=405d2404-53f1-4dd5-a4d6-6d445abe8f3b,done,dct:PeriodOfTime,at the dataset level,"1970-01-01T, 2020-12-31T",Date. ISO 8601 datetime compliant string,optional,,NA,0..1,TBS Policy on Service and Digital 4.3.2.10,Y (Date [coverage]),,,see above,date,,LAC,distribution_data_start_date,distribution_données_priorité,,KT yes,,,,,
,dmp/dataset/distribution/data_transfer_maximum_latency_msec,TRUE,,b3cc8692-d43d-4604-af3e-e42a8d413178,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=b3cc8692-d43d-4604-af3e-e42a8d413178,?,,,,number,optional,,NA,0..1,,,,,,,,,distribution_data_transfer_maximum_latency_msec,distribution_transfer_données_latence_maximale_msec,,,,,,,
,dmp/dataset/distribution/data_transfer_minimum_throughput_Mbps,TRUE,,8c64d13b-a3ba-4e6c-a200-f45e6e4cd967,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=8c64d13b-a3ba-4e6c-a200-f45e6e4cd967,?,,,,number,optional,,NA,0..1,,,,,,,,,distribution_data_transfer_minimum_throughput_Mbps,distribution_transfer_données_débit_minimum_Mbps,,,,,,,
,dmp/dataset/distribution/data_type,TRUE,,dc8f82e4-3efe-44f7-a914-1eef4fd52bdf,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=dc8f82e4-3efe-44f7-a914-1eef4fd52bdf,redundant,dct:type,dct:type in Dataset,citizen science,controlled vocabulary,optional,,NA,0..n,,,,,see above,resourceType,,,distribution_data_type,distribution_données_type,,KT yes,,,,,
,dmp/dataset/distribution/data_update_frequency,TRUE,,09cab7f4-1750-4a57-89b3-71864b27f878,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=09cab7f4-1750-4a57-89b3-71864b27f878,move to dataset,dct:accrualPeriodicity,could be a controlled vocabulary: https://www.dublincore.org/specifications/dublin-core/collection-description/frequency/ ,7 days,string,optional,,NA,0..1,,,,,,,,,distribution_data_update_frequency,distribution_données_fréquence_mise_à_jour,,KT yes,,,,,
,dmp/dataset/distribution/description,TRUE,,f52e24f4-94f7-4c3f-88c7-bd86cb251651,http://federaldatasteward.scienceprogram.cloud:8080/knowledge-models/GC:GCmaDMP:latest/preview?questionUuid=f52e24f4-94f7-4c3f-88c7-bd86cb251651,done,,,best quality data before resizing,string (free-form text),optional,,0..1,,,,,,see above,description,,,distribution_description,distribution_description,pgd/données/distribution/description,KT yes,AR yes,,,,
